url,repo_name,watchers,stars,forks,commits,branches,releases,contributors,,
https://github.com/bluejamesbond/TextJustify-Android,TextJustify-Android,85,1628,363,215,2,9,14,,
https://github.com/bluelinelabs/Conductor,Conductor,128,2751,233,263,4,25,23,,
https://github.com/bluelinelabs/LoganSquare,LoganSquare,119,3073,313,142,5,18,8,,
https://github.com/bm-x/PhotoView,PhotoView,58,1712,422,88,2,0,3,,
https://github.com/bmelnychuk/AndroidTreeView,AndroidTreeView,82,1978,456,57,1,0,5,,
https://github.com/BoltsFramework/Bolts-Android,Bolts-Android,236,3427,492,192,6,10,14,,
https://github.com/bonnyfone/vectalign,vectalign,67,1950,155,73,2,2,2,,
https://github.com/brettwooldridge/HikariCP,HikariCP,493,5999,916,2,585,8,84,,
https://github.com/brianfrankcooper/YCSB,YCSB,177,1886,1213,1,174,3,46,,
https://github.com/brianway/java-learning,java-learning,214,1758,700,72,1,0,2,,
https://github.com/btraceio/btrace,btrace,218,1564,332,1,3,5,43,,
https://github.com/Bukkit/Bukkit,Bukkit,217,1850,1102,1,509,1,67,,
https://github.com/bumptech/glide,glide,981,20166,3962,2,150,4,32,,
https://github.com/byoutline/kickmaterial,kickmaterial,73,1492,257,110,2,0,5,,
https://github.com/bytedeco/javacpp,javacpp,151,2235,293,446,5,27,21,,
https://github.com/bytedeco/javacv,javacv,188,2180,714,334,4,19,40,,
https://github.com/careercup/ctci,ctci,514,3900,2139,337,2,0,36,,
https://github.com/careercup/CtCI-6th-Edition,CtCI-6th-Edition,348,3093,1564,361,2,0,18,,
https://github.com/CarGuo/GSYVideoPlayer,GSYVideoPlayer,185,4907,1159,728,4,44,3,,
https://github.com/castorflex/SmoothProgressBar,SmoothProgressBar,197,3927,1018,169,2,9,13,,
https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector,Android-IMSI-Catcher-Detector,432,3092,631,2,521,6,49,,
https://github.com/cglib/cglib,cglib,173,1798,471,818,4,26,14,,
https://github.com/ChadCSong/ShineButton,ShineButton,61,3018,422,100,1,2,2,,
https://github.com/chanjarster/weixin-java-tools,weixin-java-tools,435,1959,2653,380,2,21,12,,
https://github.com/checkstyle/checkstyle,checkstyle,169,3009,1295,7,518,1,86,,
https://github.com/chennaione/sugar,sugar,126,2487,599,483,6,6,57,,
