watchers,stars,forks,commits,branches,releases,contributors,Python,NormWatchers,NormStars,NormForks,NormCommits,NormBranches,NormReleases,NormContributors,Popularity
210,3366,450,19,3,0,5,1,-0.2212775568,-0.2254935545,-0.4280809111,-0.6946063775,-0.5326107284,-0.4127248364,-0.4578279133,-0.2916173408
283,4053,529,45,2,3,7,1,-0.009287101311,-0.0665547198,-0.3742338281,-0.5866377855,-0.5365636377,-0.3293406376,-0.4321527239,-0.1500252164
414,6060,785,240,2,16,17,1,0.371134127,0.3977687755,-0.1997420149,0.2231266545,-0.5365636377,0.03199089069,-0.303776777,0.1897202959
289,6080,873,5,797,1,68,1,0.008136771742,0.4023958158,-0.1397604541,-0.7527433116,2.605999255,-0.3849301035,0.3509405523,0.09025737781
209,2774,1529,74,1,0,11,1,-0.2241815356,-0.3624539477,0.3073748172,-0.466211279,-0.540516547,-0.4127248364,-0.3808023452,-0.09308688873
212,4178,585,368,1,0,62,1,-0.2154695991,-0.03763571785,-0.336063744,0.7546643381,-0.540516547,-0.4127248364,0.2739149841,-0.196389687
171,3688,402,93,3,0,18,1,-0.3345327316,-0.1509982055,-0.460798126,-0.3873111541,-0.5326107284,-0.4127248364,-0.2909391823,-0.3154430211
332,3327,552,1,983,5,73,1,0.133007862,-0.2345162831,-0.3585568292,-0.7693538642,3.341240384,-0.2737511717,0.4151285257,-0.1533550835
366,5553,2052,15,707,12,112,1,0.2317431426,0.2804733036,0.6638561387,-0.7112169301,2.250237418,-0.07918804109,0.9157947187,0.392024195
136,3062,548,1,448,10,29,1,-0.4361719911,-0.2958245673,-0.3612832638,-0.7693538642,1.226433909,-0.134777507,-0.1497256407,-0.3644266074
103,3525,768,2,491,4,80,1,-0.5320032929,-0.188708584,-0.2113293619,-0.7652012261,1.396409009,-0.3015459046,0.5049916886,-0.3106804129
233,2939,1173,7,515,32,90,1,-0.1544860434,-0.3242808652,0.06472213947,-0.7444380353,1.491278832,0.4767066178,0.6333676355,-0.138014923
145,3313,1117,1,248,16,25,1,-0.4100361815,-0.2377552113,0.02655205534,-0.7693538642,0.4358520497,0.03199089069,-0.2010760195,-0.2070797792
161,2658,361,908,3,45,134,1,-0.3635725201,-0.3892907816,-0.4887440805,2.997088941,-0.5326107284,0.8380381461,1.198221802,-0.4138691274
1914,31611,13372,25,423,44,179,1,4.72710239,6.309044126,8.379666003,-0.6696905485,1.127611177,0.8102434131,1.775913563,6.471937507
4217,5668,81,272,2,19,9,1,11.41496566,0.3070787854,-0.6795945012,0.3560110754,-0.5365636377,0.1153750895,-0.4064775346,3.680816649
548,11769,1875,4,687,15,102,1,0.7602672919,1.718557433,0.5432114085,-0.7568959498,2.171179232,0.004196157744,0.7874187718,1.007345378
180,2739,1012,2,443,14,80,1,-0.3083969221,-0.3705512683,-0.04501685242,-0.7652012261,1.206669363,-0.0235985752,0.5049916886,-0.2413216809
204,2761,885,1,205,13,29,1,-0.2387014298,-0.365461524,-0.1315811504,-0.7693538642,0.2658769499,-0.05139330815,-0.1497256407,-0.2452480347
182,5708,457,445,8,11,28,1,-0.3025889644,0.316332866,-0.4233096506,1.074417476,-0.5128461819,-0.106982774,-0.1625632354,-0.1365219163
311,5230,458,437,2,1,38,1,0.07202430627,0.2057466026,-0.4226280419,1.041196371,-0.5365636377,-0.3849301035,-0.03418728849,-0.04828571103
1151,11613,3189,540,2,0,8,1,2.511366534,1.682466518,1.438845168,1.468918101,-0.5365636377,-0.4127248364,-0.4193151293,1.877559407
150,3338,619,348,2,0,10,1,-0.3955162873,-0.231971411,-0.31288905,0.6716115751,-0.5365636377,-0.4127248364,-0.3936399399,-0.3134589161
119,5502,264,985,2,4,24,1,-0.4855396314,0.2686743508,-0.5548601191,3.316842079,-0.5365636377,-0.3015459046,-0.2139136142,-0.2572417999
48,2508,116,615,2,8,5,1,-0.6917221292,-0.4239935839,-0.6557381986,1.780365962,-0.5365636377,-0.1903669729,-0.4578279133,-0.5904846372
560,12085,1554,766,2,0,37,1,0.795115038,1.791664669,0.3244150333,2.407414323,-0.5365636377,-0.4127248364,-0.04702488318,0.9703982469
109,3491,163,715,2,10,7,1,-0.5145794199,-0.1965745526,-0.6237025923,2.195629777,-0.5365636377,-0.134777507,-0.4321527239,-0.4449521882
1370,22914,2855,190,2,0,32,1,3.1473379,4.296975646,1.211187881,0.01549474679,-0.5365636377,-0.4127248364,-0.1112128566,2.885167142
621,12731,839,431,1,0,53,1,0.9722577474,1.941118072,-0.1629351481,1.016280542,-0.540516547,-0.4127248364,0.1583766319,0.916813557
275,4378,298,5,0,2,9,1,-0.03251893205,0.008634685269,-0.5316854252,-0.7527433116,-0.5444694563,-0.3571353705,-0.4064775346,-0.1851898906
73,3084,125,555,4,41,,1,-0.6191226582,-0.2907348229,-0.6496037208,1.531207673,-0.5286578191,0.7268592143,-0.5220158868,-0.5198204006
376,3530,1992,45,40,1,794,1,0.260782931,-0.187551824,0.62295962,-0.5866377855,-0.3863530844,-0.3849301035,9.671034299,0.2320635757
178,6763,237,343,3,21,,1,-0.3142048797,0.5604092425,-0.5732635525,0.6508483843,-0.5326107284,0.1709645554,-0.5220158868,-0.1090197299
146,3388,125,459,2,22,18,1,-0.4071322027,-0.2204038102,-0.6496037208,1.13255441,-0.5365636377,0.1987592884,-0.2909391823,-0.4257132446
87,3089,141,334,8,6,20,1,-0.5784669544,-0.2895780628,-0.6386979825,0.6134746409,-0.5128461819,-0.2459564388,-0.2652639929,-0.5022476666
165,3376,235,609,2,42,58,1,-0.3519566047,-0.2231800344,-0.5746267698,1.755450133,-0.5365636377,0.7546539472,0.2225646053,-0.3832544696
453,9710,3137,7,670,10,106,1,0.4843893019,1.242203632,1.403401519,-0.7444380353,2.103979774,-0.134777507,0.8387691506,1.043331484
222,3598,573,1,747,4,10,1,-0.1864298107,-0.1718198869,-0.3442430477,-0.7693538642,2.40835379,-0.3015459046,-0.3936399399,-0.2341642484
251,10244,719,1,449,5,90,1,-0.1022144243,1.365745609,-0.2447281855,-0.7693538642,1.230386819,-0.2737511717,0.6333676355,0.3396009997
437,7741,1010,362,1,0,,1,0.4379256404,0.7866715137,-0.04638006971,0.7297485092,-0.540516547,-0.4127248364,-0.5220158868,0.3927390281
131,3170,304,667,8,15,42,1,-0.4506918853,-0.2708385496,-0.5275957733,1.996303146,-0.5128461819,0.004196157744,0.01716309028,-0.4163754027
178,2622,785,513,1,0,18,1,-0.3142048797,-0.3976194541,-0.1997420149,1.35679687,-0.540516547,-0.4127248364,-0.2909391823,-0.3038554496
393,8136,1213,8,147,17,50,1,0.3101505713,0.8780555599,0.09198648528,-0.7402853971,0.03660821056,0.05978562363,0.1198638478,0.4267308722
491,9580,1547,3,771,8,107,1,0.5947404979,1.21212787,0.3196437728,-0.7610485879,2.503223613,-0.1903669729,0.8516067453,0.7088373804
262,3834,536,237,13,7,11,1,-0.070270657,-0.1172208112,-0.3694625676,0.21066874,-0.4930816354,-0.2181617058,-0.3808023452,-0.1856513453
282,6540,572,375,3,9,42,1,-0.01219108015,0.508817743,-0.3449246563,0.7837328052,-0.5326107284,-0.1625722399,0.01716309028,0.0505673355
131,3671,234,506,2,10,,1,-0.4506918853,-0.1549311898,-0.5753083784,1.327728403,-0.5365636377,-0.134777507,-0.5220158868,-0.3936438178
246,4761,875,204,2,4,30,1,-0.1167343185,0.09724250724,-0.1383972368,0.07363168094,-0.5365636377,-0.3015459046,-0.136888046,-0.05262968268
221,4097,298,68,1,0,,1,-0.1893337895,-0.05637523111,-0.5316854252,-0.4911271079,-0.540516547,-0.4127248364,-0.5220158868,-0.2591314819
504,10355,1484,26,1,0,4,1,0.6324922228,1.391425682,0.2767024282,-0.6655379104,-0.540516547,-0.4127248364,-0.470665508,0.7668734445
184,2846,459,788,22,0,41,1,-0.2967810067,-0.3457966026,-0.4219464333,2.498772363,-0.4575054518,-0.4127248364,0.004325495584,-0.3548413475
127,3604,394,121,5,0,34,1,-0.4623078007,-0.1704317748,-0.4662509952,-0.2710372858,-0.5247049098,-0.4127248364,-0.08553766726,-0.3663301902
1311,14136,3279,495,1,0,74,1,2.976003148,2.266167653,1.500189946,1.282049384,-0.540516547,-0.4127248364,0.4279661204,2.247453583
209,2877,567,4,622,28,218,1,-0.2241815356,-0.3386246901,-0.3483326996,-0.7568959498,1.914240127,0.365527686,2.276579756,-0.3037129751
269,4803,510,1,360,8,42,1,-0.0499428051,0.1069592919,-0.3871843924,-0.7693538642,0.8785778911,-0.1903669729,0.01716309028,-0.1100559685
87,3428,100,187,4,0,,1,-0.5784669544,-0.2111497295,-0.6666439369,0.003036832334,-0.5286578191,-0.4127248364,-0.5220158868,-0.485420207
179,3029,819,22,1,9,2,1,-0.3113009009,-0.3034591838,-0.176567321,-0.682148463,-0.540516547,-0.1625722399,-0.4963406974,-0.2637758019
128,2688,830,2,290,7,15,1,-0.4594038219,-0.3823502211,-0.1690696259,-0.7652012261,0.6018742402,-0.2181617058,-0.3294519664,-0.3369412229
163,3386,596,802,3,28,123,1,-0.3577645624,-0.2208665142,-0.3285660489,2.556909297,-0.5326107284,0.365527686,1.05700826,-0.3023990418
146,2554,579,51,1,0,8,1,-0.4071322027,-0.4133513912,-0.3401533958,-0.5617219565,-0.540516547,-0.4127248364,-0.4193151293,-0.3868789966
227,3583,808,59,2,0,10,1,-0.1719099165,-0.1752901671,-0.1840650161,-0.5285008513,-0.5365636377,-0.4127248364,-0.3936399399,-0.1770883666
390,2808,1461,21,338,22,620,1,0.3014386348,-0.3545879792,0.2610254293,-0.6863011012,0.7916138866,0.1987592884,7.437292822,0.0692920283
1043,12030,3521,490,2,24,31,1,2.197736819,1.778940309,1.665139239,1.261286193,-0.5365636377,0.2543487542,-0.1240504513,1.880605455
240,3539,726,3,262,3,66,1,-0.1341581915,-0.1854696558,-0.239956925,-0.7610485879,0.4911927799,-0.3293406376,0.3252653629,-0.1865282574
77,3090,211,1,95,6,14,1,-0.6075067428,-0.2893467108,-0.5909853773,-0.7693538642,-0.168943073,-0.2459564388,-0.3422895611,-0.495946277
992,4727,3801,598,1,0,122,1,2.049633898,0.08937653871,1.855989659,1.709771113,-0.540516547,-0.4127248364,1.044170666,1.331666699
75,3690,283,110,1,0,14,1,-0.6133147005,-0.1505355015,-0.5419095548,-0.3167163055,-0.540516547,-0.4127248364,-0.3422895611,-0.4352532523
370,7638,1478,2,832,11,44,1,0.243359058,0.7628422561,0.2726127763,-0.7652012261,2.74435108,-0.106982774,0.04283827966,0.4262713635
406,8398,1260,5,168,9,281,1,0.3479022963,0.938669788,0.1240220916,-0.7527433116,0.1196193058,-0.1625722399,3.085348222,0.4701980586
568,15573,1867,20,237,331,331,1,0.8183468687,2.5986205,0.5377585393,-0.6904537393,0.3923700474,8.787331768,3.727227956,1.318241969
269,3912,746,4,523,6,61,1,-0.0499428051,-0.099175354,-0.2263247521,-0.7568959498,1.522902107,-0.2459564388,0.2610773894,-0.1251476371
188,3352,549,4,773,43,62,1,-0.2851650913,-0.2287324827,-0.3606016552,-0.7568959498,2.511129431,0.7824486802,0.2739149841,-0.2914997431
210,6116,557,286,1,0,31,1,-0.2212775568,0.4107244884,-0.355148786,0.4141480095,-0.540516547,-0.4127248364,-0.1240504513,-0.05523395148
350,2601,1469,17,1,0,1,1,0.1852794811,-0.4024778464,0.2664782985,-0.7029116538,-0.540516547,-0.4127248364,-0.5091782921,0.01642664438
158,2583,357,186,4,0,9,1,-0.3722844566,-0.4066421827,-0.4914705151,-0.00111580582,-0.5286578191,-0.4127248364,-0.4064775346,-0.4234657181
333,2480,440,992,8,8,27,1,0.1359118408,-0.4304714403,-0.4348969975,3.345910546,-0.5128461819,-0.1903669729,-0.1754008301,-0.243152199
273,8350,443,52,4,3,18,1,-0.03832688973,0.9275648912,-0.4328521716,-0.5575693184,-0.5286578191,-0.3293406376,-0.2909391823,0.15212861
160,2977,255,502,4,8,12,1,-0.3664764989,-0.3154894886,-0.5609945969,1.311117851,-0.5286578191,-0.1903669729,-0.3679647505,-0.4143201948
212,3397,736,880,12,0,16,1,-0.2154695991,-0.218321642,-0.2331408385,2.880815073,-0.4970345447,-0.4127248364,-0.3166143717,-0.2223106932
198,6645,447,813,4,52,67,1,-0.2561253029,0.5331097046,-0.430125737,2.602588316,-0.5286578191,1.032601277,0.3381029576,-0.05104711176
135,2841,388,1,109,5,22,1,-0.43907597,-0.3469533627,-0.4703406471,-0.7693538642,-0.1136023428,-0.2737511717,-0.2395888036,-0.4187899932
118,2892,311,1,291,7,34,1,-0.4884436103,-0.3351544099,-0.5228245128,-0.7693538642,0.6058271495,-0.2181617058,-0.08553766726,-0.448807511
290,3270,1782,324,5,0,66,1,0.01104075058,-0.247703348,0.4798218045,0.5719482594,-0.5247049098,-0.4127248364,0.3252653629,0.08105306901
383,5235,1838,1,475,8,63,1,0.2811107829,0.2069033626,0.5179918886,-0.7693538642,1.33316246,-0.1903669729,0.2867525788,0.3353353447
134,3069,328,260,2,0,66,1,-0.4419799488,-0.2942051031,-0.5112371658,0.3061794175,-0.5365636377,-0.4127248364,0.3252653629,-0.4158074059
143,4646,219,278,7,20,14,1,-0.4158441392,0.07063702545,-0.5855325081,0.3809269043,-0.5167990912,0.1431698225,-0.3422895611,-0.3102465406
761,11024,1415,1,916,2,18,1,1.378814785,1.546200181,0.2296714316,-0.7693538642,3.076395461,-0.3571353705,-0.2909391823,1.051562133
259,4737,850,59,1,0,3,1,-0.07898259352,0.09169005887,-0.155437453,-0.5285008513,-0.540516547,-0.4127248364,-0.4835031027,-0.04757666254
698,12410,3570,12,138,16,162,1,1.195864118,1.866854075,1.698538062,-0.7236748445,0.001032026874,0.03199089069,1.557674453,1.587085418
95,2495,1380,2,21,3,1,1,-0.5552351236,-0.4270011601,0.205815129,-0.7652012261,-0.461458361,-0.3293406376,-0.5091782921,-0.2588070516
276,3506,861,469,2,50,,1,-0.02961495321,-0.1931042723,-0.1479397579,1.174080792,-0.5365636377,0.9770118108,-0.5220158868,-0.1235529945
195,4511,422,87,2,0,6,1,-0.2648372394,0.03940450334,-0.4471659531,-0.412226983,-0.5365636377,-0.4127248364,-0.4449903186,-0.2241995631
91,2977,76,204,2,13,25,1,-0.566851039,-0.3154894886,-0.6830025444,0.07363168094,-0.5365636377,-0.05139330815,-0.2010760195,-0.521781024
